category,mean_lddt,mean_dockq
interface_antibody_antigen,0.00785841151269362,0.0281981219903588
interface_protein_dna,-0.07912469627080854,-0.018004430415434702
interface_protein_ligand,-0.08169053121887349,
interface_protein_peptide,-0.025786143651135962,0.0435481620581763
interface_protein_protein,0.016415239055428743,0.04447062530683352
interface_protein_rna,0.07430930645714423,0.035380984962976106
monomer_dna,0.02341262278757089,
monomer_protein,-0.1019991373103527,
monomer_rna,0.02357835230637395,
